time,ax,ay,az (m/s^2),aT (m/s^2)
0.000960,-0.5636,0.4735,-1.9624,2.096
0.002677,-0.2145,0.2958,-1.6199,1.661
0.006665,0.0048,0.2098,-1.3618,1.378
0.011784,0.0433,0.3249,-0.9528,1.008
0.018669,0.2146,0.4875,-0.5431,0.761
0.022449,0.3714,0.5393,-0.3266,0.732
0.025917,0.4986,0.5401,-0.2467,0.775
0.031843,0.4511,0.6194,-0.3803,0.855
0.036326,0.4987,0.5971,-0.2844,0.828
0.041246,0.5229,0.6416,-0.0491,0.829
0.052470,0.5382,0.5437,0.0584,0.767
0.052814,0.6155,0.6836,0.4800,1.038
0.056676,0.6707,1.0388,1.1973,1.721
0.060426,0.6859,1.3569,1.7587,2.325
0.065108,0.6618,1.5250,2.3302,2.862
0.070242,0.6686,1.4830,2.6848,3.139
0.076111,0.5388,1.1424,2.7822,3.056
0.080204,0.5076,0.5848,2.7376,2.845
0.084949,0.4593,-0.0288,2.4451,2.488
0.089711,0.4540,-0.5235,2.0071,2.123
0.095055,0.4531,-0.8614,1.4922,1.782
0.098865,0.3327,-1.0929,0.9504,1.486
0.104441,0.0058,-1.1971,0.5202,1.305
0.108810,-0.4699,-1.1097,0.2350,1.228
0.113669,-1.0057,-0.8622,0.1855,1.338
0.119936,-1.4829,-0.5122,0.2160,1.584
0.122710,-1.8808,-0.2323,0.2752,1.915
0.127392,-1.8821,-0.0530,-0.0530,1.884
0.135580,-1.9516,0.0169,0.2170,1.964
0.137904,-1.9399,0.0072,0.2403,1.955
0.142576,-1.8875,-0.0022,0.2513,1.904
0.147518,-1.7650,-0.0012,0.1639,1.773
0.152299,-1.5797,0.0416,0.1910,1.592
0.156767,-1.4311,0.1983,0.3422,1.485
0.161842,-1.2748,0.3302,0.5217,1.416
0.167115,-1.0779,0.4828,0.7565,1.403
0.171929,-0.8450,0.6199,1.0206,1.463
0.176793,-0.5665,0.7581,1.4339,1.718
0.181682,-0.2893,0.8466,1.8268,2.034
0.185752,0.0421,0.8655,2.0083,2.187
0.191788,0.3625,0.7953,2.0838,2.260
0.195868,0.5365,0.6303,1.9556,2.124
0.200335,0.5851,0.4536,1.8081,1.954
0.205213,0.5074,0.2675,1.5741,1.675
0.210169,0.3282,0.0931,1.3638,1.406
0.221923,0.1062,-0.1245,1.1098,1.122
0.222230,-0.1785,-0.2920,0.8695,0.934
0.225272,-0.4444,-0.4546,0.6953,0.942
0.231790,-0.6029,-0.5714,0.6325,1.044
0.235101,-0.6922,-0.6944,0.5228,1.111
0.239030,-0.7203,-0.8284,0.3663,1.157
0.243793,-0.7572,-0.9226,0.1819,1.207
0.249019,-0.7645,-0.9777,-0.0112,1.241
0.254279,-0.7056,-0.9678,-0.1220,1.204
0.259263,-0.6037,-0.8740,-0.1122,1.068
0.264129,-0.5758,-0.7474,0.0496,0.945
0.268155,-0.5588,-0.6029,0.3133,0.880
0.273841,-0.4647,-0.3984,0.4207,0.743
0.278623,-0.3210,-0.1575,0.4510,0.576
0.282713,-0.1498,0.0703,0.4302,0.461
0.288080,-0.0224,0.2713,0.3080,0.411
0.292129,0.0106,0.3693,0.0509,0.373
0.297299,0.0155,0.3627,-0.2503,0.441
0.301855,-0.0225,0.3616,-0.4904,0.610
0.307267,-0.0390,0.3064,-0.5715,0.650
0.312500,-0.0891,0.2977,-0.5487,0.631
0.316416,-0.0943,0.3116,-0.5228,0.616
0.321970,-0.0960,0.2379,-0.5605,0.616
0.326907,-0.0911,0.2535,-0.6352,0.690
0.332301,-0.1119,0.2840,-0.6034,0.676
0.336332,-0.1093,0.2838,-0.4244,0.522
0.340448,-0.0975,0.2608,-0.1847,0.334
0.346026,-0.0661,0.2444,0.0409,0.257
0.350417,-0.0265,0.1588,0.2879,0.330
0.355951,-0.0221,-0.1324,0.4318,0.452
0.360323,0.0618,-0.4661,0.3532,0.588
0.364860,0.1878,-0.7911,-0.0724,0.816
0.371697,0.1696,-0.9971,-0.0868,1.015
0.375748,0.1516,-0.9893,-0.0824,1.004
0.380834,-0.0892,-1.2634,-0.3026,1.302
0.384509,-0.2792,-1.3632,-0.4763,1.471
0.389360,-0.3373,-1.1319,-0.4694,1.271
0.394628,-0.3162,-0.7262,-0.3751,0.876
0.398601,-0.3002,-0.3575,-0.3603,0.590
0.403989,-0.3049,-0.0355,-0.4011,0.505
0.409367,-0.3459,0.2187,-0.3398,0.532
0.413836,-0.4708,0.3431,-0.3463,0.678
0.418015,-0.5581,0.2337,-0.4046,0.728
0.423323,-0.3735,0.6688,-0.3646,0.848
0.428409,0.1291,1.5275,-0.4043,1.585
0.432471,0.7092,2.1386,-0.7516,2.375
0.438356,1.1768,2.5583,-1.0625,3.010
0.442914,1.9427,2.8301,-1.3445,3.687
0.449739,2.6698,2.4903,-1.5411,3.963
0.454244,3.1078,1.6919,-1.3750,3.796
0.457002,3.3552,1.1384,-1.0883,3.706
0.462417,3.4964,0.8671,-0.9845,3.734
0.466319,3.4721,0.7433,-0.7045,3.620
0.472124,3.4203,0.5843,-0.5428,3.512
0.476788,3.3714,0.5428,-0.2294,3.423
0.481071,3.2835,0.4547,0.0948,3.316
0.485733,3.1468,0.3799,0.1437,3.173
0.490961,2.8131,0.3717,-0.0100,2.838
0.495609,2.4734,0.4224,-0.5808,2.576
0.500564,1.9829,0.4868,-1.5179,2.544
0.505527,1.4437,0.5286,-2.4623,2.903
0.510941,0.9667,0.4795,-3.0679,3.252
0.516208,0.5588,0.2612,-3.3236,3.380
0.519501,0.2815,0.0676,-3.2426,3.256
0.525198,0.0237,-0.0706,-3.0672,3.068
0.530136,-0.1927,-0.1516,-2.8385,2.849
0.534292,-0.3854,-0.1372,-2.6140,2.646
0.539357,-0.5783,-0.0393,-2.4846,2.551
0.544253,-0.9070,0.0920,-2.3449,2.516
0.548783,-1.3653,0.3167,-2.1996,2.608
0.553391,-1.7097,0.5199,-1.9101,2.616
0.559138,-1.9823,0.6876,-1.3601,2.500
0.565578,-2.0885,0.8105,-0.7565,2.365
0.568325,-2.2415,0.8678,-0.1766,2.410
0.573189,-2.4246,0.9102,0.1548,2.594
0.578467,-2.6649,0.8895,0.2383,2.819
0.582465,-2.8904,0.7946,0.1497,3.001
0.588155,-3.1120,0.6594,0.1176,3.183
0.593095,-3.2339,0.5298,0.3078,3.291
0.597852,-3.3225,0.3748,0.7113,3.418
0.601850,-3.1673,0.2378,1.1348,3.373
0.607132,-2.7724,0.1619,1.4309,3.124
0.611917,-2.2801,0.0591,1.8540,2.939
0.616385,-1.8286,-0.1056,2.2495,2.901
0.621189,-1.4154,-0.3214,2.5650,2.947
0.626877,-0.9467,-0.4735,2.7958,2.990
0.630621,-0.3019,-0.5785,2.9226,2.995
0.639406,0.3990,-0.6860,3.0862,3.187
0.640393,1.1004,-0.7401,3.2220,3.484
0.645497,1.6241,-0.7255,3.3556,3.798
0.650028,1.8977,-0.5961,3.4746,4.004
0.655577,2.0479,-0.4562,3.4375,4.027
0.660448,2.3702,-0.3497,3.1105,3.926
0.664773,2.4254,-0.2752,2.6581,3.609
0.669743,2.2619,-0.3726,2.2642,3.222
0.675438,2.0936,-0.5782,1.6200,2.710
0.680004,1.9411,-0.7232,0.8259,2.230
0.684145,1.2332,-0.9270,0.0079,1.543
0.689876,0.1522,-1.1037,-0.9252,1.448
0.694417,-1.0428,-1.0811,-1.8672,2.396
