time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002359,-1.9329,-1.4245,-2.5067,3.471
0.003069,-1.8860,-1.3241,-2.4171,3.340
0.007851,-1.7446,-1.1382,-2.0536,2.925
0.014547,-1.5677,-0.8762,-1.6360,2.429
0.017770,-1.2857,-0.5647,-1.2929,1.909
0.023195,-0.9556,-0.3209,-0.9951,1.417
0.028650,-0.6409,-0.2450,-0.6798,0.966
0.032170,-0.3431,-0.2841,-0.4085,0.604
0.037424,-0.0662,-0.3878,-0.2455,0.464
0.042764,0.2264,-0.4410,-0.1330,0.513
0.047627,0.4783,-0.3911,-0.0655,0.621
0.052236,0.7721,-0.3005,0.0290,0.829
0.056818,1.0965,-0.1258,0.2295,1.127
0.062321,1.3420,0.0085,0.3664,1.391
0.068488,1.5014,0.0759,0.4182,1.560
0.072010,1.5791,0.1433,0.5211,1.669
0.076399,1.5167,0.1241,0.6081,1.639
0.080437,1.4598,0.0199,0.5935,1.576
0.086185,1.4132,-0.0693,0.7362,1.595
0.090553,1.3811,-0.1113,0.9267,1.667
0.095061,1.3462,-0.1710,1.1244,1.762
0.100065,1.3487,-0.2570,1.1098,1.765
0.105045,1.2942,-0.2998,1.1890,1.783
0.110292,1.1606,-0.3674,1.1707,1.689
0.114776,1.0224,-0.3735,1.1986,1.619
0.119024,0.9010,-0.3546,1.1794,1.526
0.125254,0.7443,-0.2992,1.2119,1.453
0.129422,0.5591,-0.2959,1.2623,1.412
0.133797,0.3857,-0.2391,1.1722,1.257
0.138562,0.2868,-0.2193,1.0708,1.130
0.143956,0.3149,-0.1908,1.0726,1.134
0.148398,0.3868,-0.1914,0.9789,1.070
0.153461,0.4425,-0.1611,0.9092,1.024
0.158614,0.4650,-0.1518,0.7574,0.902
0.165313,0.5546,-0.1172,0.5135,0.765
0.170360,0.6520,-0.1025,0.4071,0.775
0.172471,0.7528,-0.0711,0.3443,0.831
0.177306,0.8426,0.0396,0.3248,0.904
0.182044,0.8974,0.1316,0.2336,0.937
0.188688,0.8693,0.1838,0.2018,0.911
0.192401,0.8735,0.1435,0.1127,0.892
0.196412,0.8718,0.1451,0.2073,0.908
0.201571,0.9012,0.0882,0.1933,0.926
0.207561,0.8676,-0.0509,-0.0729,0.872
0.212005,0.8290,-0.0429,-0.1627,0.846
0.216516,0.7933,0.0426,-0.2552,0.834
0.220457,0.7530,0.1623,-0.2453,0.808
0.225333,0.7074,0.2518,-0.3438,0.826
0.231844,0.6578,0.3591,-0.4841,0.892
0.235156,0.5695,0.4514,-0.6694,0.988
0.240965,0.4711,0.5129,-0.8857,1.127
0.245857,0.3262,0.5113,-0.9669,1.141
0.249923,0.1975,0.6097,-0.7671,1.000
0.254346,0.1950,0.5838,-0.5693,0.838
0.259666,0.2912,0.4110,-0.4296,0.662
0.270347,0.3656,0.4098,0.1185,0.562
0.270767,0.4316,0.2691,0.2974,0.589
0.273899,0.4618,0.2796,0.3612,0.650
0.279503,0.5138,0.2017,0.4635,0.721
0.286870,0.5692,0.2137,0.6770,0.910
0.288627,0.5786,0.1808,0.8801,1.069
0.293512,0.5906,0.1744,1.0064,1.180
0.297956,0.5066,0.1202,1.0941,1.212
0.304060,0.3879,-0.0222,1.0090,1.081
0.308705,0.2958,-0.1572,0.7630,0.833
0.312796,0.1346,-0.2754,0.6386,0.708
0.317670,-0.0650,-0.3405,0.5707,0.668
0.323504,-0.2249,-0.3026,0.5112,0.635
0.328334,-0.3180,-0.3481,0.3904,0.612
0.332324,-0.3242,-0.2713,0.2061,0.470
0.336783,-0.1552,0.0998,0.3368,0.384
0.341435,-0.1141,0.2937,0.5505,0.634
0.348072,-0.0119,0.4257,0.5645,0.707
0.351229,0.2317,0.5441,0.5389,0.800
0.357053,0.4515,0.5773,0.4928,0.883
0.360839,0.5977,0.5187,0.4500,0.910
0.365809,0.7113,0.4426,0.3864,0.923
0.370801,0.6946,0.3305,0.3066,0.828
0.376560,0.6049,0.2255,0.2488,0.692
0.382513,0.4368,0.1018,0.1433,0.471
0.387795,0.2809,-0.0115,0.0016,0.281
0.390388,0.1488,-0.1214,-0.1669,0.254
0.394927,-0.0121,-0.2059,-0.3455,0.402
0.399523,-0.1611,-0.2579,-0.4985,0.584
0.404931,-0.2979,-0.2724,-0.6045,0.727
0.410025,-0.3361,-0.2614,-0.6490,0.776
0.414901,-0.2403,-0.2487,-0.6275,0.716
0.419264,-0.1023,-0.1915,-0.6406,0.676
0.424333,0.0129,-0.1183,-0.6406,0.652
0.429387,0.0943,-0.0988,-0.5959,0.611
0.433669,0.1827,-0.0639,-0.4828,0.520
0.439671,0.2874,-0.0565,-0.4661,0.550
0.443745,0.3705,0.0620,-0.4380,0.577
0.448977,0.4652,0.1672,-0.3869,0.628
0.452833,0.5308,0.2660,-0.3315,0.680
0.458559,0.5461,0.3535,-0.2670,0.703
0.465384,0.5611,0.3768,-0.2340,0.715
0.471628,0.5121,0.3096,-0.2828,0.662
0.472842,0.3848,0.1085,-0.4536,0.605
0.477337,0.2842,0.0736,-0.3879,0.486
0.481611,0.2836,0.1429,-0.3853,0.499
0.487154,0.2845,0.1660,-0.5726,0.661
0.492157,0.2751,0.1381,-0.6698,0.737
0.497620,0.2149,0.0754,-0.6788,0.716
0.501347,0.1822,0.0087,-0.5948,0.622
0.506083,0.2973,0.0307,-0.2282,0.376
0.511784,0.5490,0.1093,0.2201,0.602
0.515941,0.6811,0.0126,0.6042,0.911
0.520874,0.8437,-0.1302,0.5846,1.035
0.525779,0.9161,-0.2486,0.5640,1.104
0.532244,0.9265,-0.4197,0.5405,1.152
0.535882,0.6694,-0.6178,0.7537,1.182
0.539585,0.5144,-0.5962,0.6671,1.032
0.544306,0.4392,-0.4053,0.5011,0.780
0.550637,0.2977,-0.2149,0.4013,0.544
0.555299,-0.0062,-0.4675,0.2650,0.537
0.559143,-0.0392,-0.3515,0.0679,0.360
0.568156,0.0477,-0.0581,0.0614,0.097
0.568961,0.3521,0.3312,0.4555,0.664
0.574589,0.4466,0.5466,0.4794,0.853
0.579038,0.2995,0.4405,0.1879,0.565
0.583666,0.2015,0.3605,-0.1318,0.433
0.589476,0.2027,0.3377,-0.3292,0.513
0.594023,0.2071,0.3702,-0.4909,0.649
0.597612,0.1085,0.3435,-0.7128,0.799
0.603317,-0.0485,0.3110,-1.0361,1.083
0.608536,-0.2240,0.2754,-1.3342,1.381
0.613040,-0.3587,0.2542,-1.5526,1.614
0.617270,-0.4743,0.1709,-1.7899,1.860
0.623563,-0.6255,0.0479,-2.1777,2.266
0.628303,-0.7488,0.1897,-2.2953,2.422
0.632099,-0.8746,0.3071,-2.3487,2.525
0.636918,-0.8642,0.4026,-2.3210,2.509
0.640981,-1.2395,0.0535,-2.0757,2.418
0.647516,-1.5585,-0.3449,-2.2355,2.747
0.652187,-1.3947,-0.3734,-2.6133,2.986
0.656727,-1.2623,-0.2570,-2.2903,2.628
0.660354,-0.8811,-0.0901,-1.5704,1.803
0.667393,-0.4198,0.0137,-0.8070,0.910
0.673787,-0.0573,-0.0235,-0.2529,0.260
0.675665,0.1993,-0.1218,0.2794,0.364
0.680824,0.3832,-0.2494,0.6616,0.804
0.685549,0.5393,-0.3004,1.1436,1.300
0.689644,0.6294,-0.2690,1.6993,1.832
0.694490,0.6733,-0.1852,2.0158,2.133
0.699549,0.5922,-0.1094,2.3185,2.395
0.704639,0.4092,-0.0422,2.4950,2.529
0.710340,0.2119,-0.0601,2.4042,2.414
0.714313,-0.0530,-0.1223,2.2854,2.289
0.719171,-0.3239,-0.2213,1.8178,1.860
0.724710,-0.5803,-0.2968,1.4080,1.552
0.728192,-1.0036,-0.4103,1.3210,1.709
