
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.094665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.116098,0.1770,-0.9770,0.0261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.140022,0.1770,-0.9770,0.0261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.143398,0.1770,-0.9770,0.0261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.5260,48.0295,-19.8408,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.168948,0.1762,-0.9764,0.0265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.5260,48.0295,-19.8408,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.177808,0.1762,-0.9764,0.0265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.5260,48.0295,-19.8408,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.198088,0.1762,-0.9764,0.0265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.4661,47.4693,-19.6953,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.216546,0.1762,-0.9764,0.0265,-0.0067,0.0066,0.0069,0.0000,0.0000,0.0000,-10.4661,47.4693,-19.6953,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.219617,0.1762,-0.9764,0.0265,-0.0067,0.0066,0.0069,0.0000,0.0000,0.0000,-10.4661,47.4693,-19.6953,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.238720,0.1757,-0.9756,0.0268,-0.0067,0.0066,0.0069,0.0000,0.0000,0.0000,-10.4661,47.4693,-19.6953,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.247436,0.1757,-0.9756,0.0268,-0.0067,0.0066,0.0069,-0.0033,-0.0028,0.0011,-10.4661,47.4693,-19.6953,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.260847,0.1757,-0.9756,0.0268,-0.0067,0.0066,0.0069,-0.0033,-0.0028,0.0011,-10.4661,47.4693,-19.6953,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.277975,0.1757,-0.9756,0.0268,0.0003,0.0019,0.0046,-0.0033,-0.0028,0.0011,-10.4661,47.4693,-19.6953,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.282071,0.1757,-0.9756,0.0268,0.0003,0.0019,0.0046,-0.0033,-0.0028,0.0011,-10.9536,48.0798,-19.7791,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.305515,0.1757,-0.9756,0.0268,0.0003,0.0019,0.0046,-0.0033,-0.0028,0.0011,-10.9536,48.0798,-19.7791,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.310773,0.1786,-0.9785,0.0270,0.0003,0.0019,0.0046,-0.0033,-0.0028,0.0011,-10.9536,48.0798,-19.7791,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.330027,0.1786,-0.9785,0.0270,0.0003,0.0019,0.0046,0.0052,0.0005,-0.0042,-10.9536,48.0798,-19.7791,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.340804,0.1786,-0.9785,0.0270,0.0123,-0.0146,0.0034,0.0052,0.0005,-0.0042,-10.9536,48.0798,-19.7791,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.344169,0.1786,-0.9785,0.0270,0.0101,-0.0108,0.0035,0.0052,0.0005,-0.0042,-10.9536,48.0798,-19.7791,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.347156,0.1786,-0.9785,0.0270,0.0101,-0.0108,0.0035,0.0052,0.0005,-0.0042,-11.3624,47.6320,-19.2863,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.349574,0.1786,-0.9785,0.0270,0.0101,-0.0108,0.0035,0.0052,0.0005,-0.0042,-11.3624,47.6320,-19.2863,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.372067,0.1786,-0.9785,0.0270,0.0101,-0.0108,0.0035,-0.0023,-0.0003,-0.0009,-11.3624,47.6320,-19.2863,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.376092,0.1752,-0.9754,0.0283,0.0101,-0.0108,0.0035,-0.0023,-0.0003,-0.0009,-11.3624,47.6320,-19.2863,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.391853,0.1752,-0.9754,0.0283,0.0101,-0.0108,0.0035,-0.0023,-0.0003,-0.0009,-11.3624,47.6320,-19.2863,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.398230,0.1752,-0.9754,0.0283,-0.0173,0.0223,0.0185,-0.0023,-0.0003,-0.0009,-11.3624,47.6320,-19.2863,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.401962,0.1752,-0.9754,0.0283,-0.0173,0.0223,0.0185,-0.0023,-0.0003,-0.0009,-10.7212,48.0273,-19.1066,207.2500,67.3906,22.3125,0.00000000,0.00000000,0.00000000,
0.427918,0.1752,-0.9754,0.0283,-0.0173,0.0223,0.0185,-0.0023,-0.0003,-0.0009,-10.7212,48.0273,-19.1066,186.3281,79.4688,10.4219,0.00000000,0.00000000,0.00000000,
0.439975,0.1767,-0.9762,0.0275,-0.0173,0.0223,0.0185,-0.0023,-0.0003,-0.0009,-10.7212,48.0273,-19.1066,186.3281,79.4688,10.4219,0.00000000,0.00000000,0.00000000,
0.448531,0.1767,-0.9762,0.0275,-0.0173,0.0223,0.0185,0.0056,0.0007,0.0005,-10.7212,48.0273,-19.1066,186.3281,79.4688,10.4219,0.00000000,0.00000000,0.00000000,
