
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.109555,-0.0585,0.4185,0.9025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.143411,-0.0585,0.4185,0.9025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.0258,2.3025,2.8396,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.179270,-0.0503,0.4172,0.9359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.0258,2.3025,2.8396,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.218186,-0.0503,0.4172,0.9359,0.0503,-0.0289,0.2012,0.0000,0.0000,0.0000,56.0258,2.3025,2.8396,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.225041,-0.0503,0.4172,0.9359,0.0503,-0.0289,0.2012,0.0000,0.0000,0.0000,56.3012,3.3855,2.8488,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.237601,-0.0601,0.4297,0.8970,0.0503,-0.0289,0.2012,0.0000,0.0000,0.0000,56.3012,3.3855,2.8488,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.242217,-0.0601,0.4297,0.8970,0.0503,-0.0289,0.2012,0.0418,0.0010,-0.0209,56.3012,3.3855,2.8488,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.276859,-0.0601,0.4297,0.8970,-0.0545,0.0582,-0.1108,0.0418,0.0010,-0.0209,56.3012,3.3855,2.8488,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.282166,-0.0601,0.4297,0.8970,-0.0545,0.0582,-0.1108,0.0418,0.0010,-0.0209,56.7153,3.1584,2.8029,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.308765,-0.0512,0.4195,0.9056,-0.0545,0.0582,-0.1108,0.0418,0.0010,-0.0209,56.7153,3.1584,2.8029,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.318359,-0.0512,0.4195,0.9056,-0.0545,0.0582,-0.1108,0.0130,0.0257,-0.0230,56.7153,3.1584,2.8029,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.337727,-0.0512,0.4195,0.9056,0.0456,-0.0092,0.0107,0.0130,0.0257,-0.0230,56.7153,3.1584,2.8029,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.342025,-0.0512,0.4195,0.9056,0.0473,-0.0141,0.0122,0.0130,0.0257,-0.0230,56.7153,3.1584,2.8029,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.344654,-0.0512,0.4195,0.9056,0.0473,-0.0141,0.0122,0.0130,0.0257,-0.0230,56.4333,3.2725,3.0455,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.360343,-0.0512,0.4195,0.9056,0.0473,-0.0141,0.0122,-0.0087,0.0188,-0.0394,56.4333,3.2725,3.0455,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.377389,-0.0490,0.4124,0.9417,0.0473,-0.0141,0.0122,-0.0087,0.0188,-0.0394,56.4333,3.2725,3.0455,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.398525,-0.0490,0.4124,0.9417,0.0993,-0.0526,0.0523,-0.0087,0.0188,-0.0394,56.4333,3.2725,3.0455,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.422972,-0.0490,0.4124,0.9417,0.0993,-0.0526,0.0523,-0.0087,0.0188,-0.0394,56.4737,3.1313,3.2423,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.431419,-0.0490,0.4124,0.9417,0.0993,-0.0526,0.0523,-0.0087,0.0188,-0.0394,56.4737,3.1313,3.2423,189.4688,-24.5000,-3.2344,0.00000000,0.00000000,0.00000000,
0.438247,-0.0490,0.4124,0.9417,0.0993,-0.0526,0.0523,0.0530,-0.0037,-0.0602,56.4737,3.1313,3.2423,189.4688,-24.5000,-3.2344,0.00000000,0.00000000,0.00000000,
0.442259,-0.0631,0.4157,0.9185,0.0993,-0.0526,0.0523,0.0530,-0.0037,-0.0602,56.4737,3.1313,3.2423,189.4688,-24.5000,-3.2344,0.00000000,0.00000000,0.00000000,
