time,ax,ay,az (m/s^2),aT (m/s^2)
0.000867,0.4737,0.2840,-0.6293,0.837
0.003821,0.5106,0.2807,-0.6764,0.893
0.009448,0.4796,0.2617,-0.5387,0.767
0.013870,0.4457,0.2245,-0.4412,0.666
0.018372,0.4518,0.2240,-0.3051,0.589
0.023062,0.4191,0.1481,-0.1997,0.487
0.029438,0.3097,-0.0145,-0.1078,0.328
0.032727,0.2522,-0.1825,-0.0196,0.312
0.037837,0.1106,-0.2990,0.1005,0.334
0.042268,-0.0536,-0.4267,0.2294,0.487
0.047427,-0.1720,-0.5538,0.3006,0.653
0.052990,-0.3268,-0.6205,0.2607,0.748
0.057167,-0.5157,-0.6945,0.1938,0.886
0.065311,-0.5681,-0.7250,0.2161,0.946
0.067154,-0.7504,-0.5110,1.0280,1.371
0.071370,-0.2760,-0.6351,0.5218,0.867
0.076198,-0.2094,-0.5691,0.1138,0.617
0.081168,-0.2474,-0.3995,-0.1970,0.510
0.086655,-0.1551,-0.1705,-0.3553,0.423
0.091527,0.0106,0.0673,-0.1633,0.177
0.095823,0.2305,0.2165,0.0553,0.321
0.100805,0.4090,0.2499,0.1008,0.490
0.105244,0.4016,0.2260,0.0958,0.471
0.111132,0.2785,0.2006,-0.0023,0.343
0.114855,0.1981,0.1740,-0.0172,0.264
0.120486,0.2027,0.1060,0.0265,0.230
0.125470,0.3013,0.0847,-0.0165,0.313
0.130981,0.3607,0.0813,-0.0532,0.374
0.134746,0.3647,0.1363,0.0278,0.390
0.139195,0.4943,0.1830,-0.0405,0.529
0.143849,0.5700,0.2388,-0.2138,0.654
0.150148,0.6906,0.3293,-0.5465,0.940
0.155417,0.4122,0.4537,-0.1968,0.644
0.159074,0.4476,0.5164,0.0629,0.686
0.165126,0.6066,0.3870,0.1056,0.727
0.169119,0.5152,0.2759,0.1750,0.610
0.172786,0.4599,0.1405,0.1907,0.517
0.178049,0.2119,-0.0404,0.0441,0.220
0.182759,0.1540,-0.1554,-0.0229,0.220
0.187476,0.2378,-0.2549,-0.1599,0.384
0.192813,-0.2140,-0.7129,-0.1704,0.764
0.197999,-0.5071,-0.6114,0.5450,0.963
0.202525,0.2624,-0.0673,0.2618,0.377
0.207151,1.1039,0.3197,-0.9450,1.488
0.214566,0.3864,0.2718,-0.9597,1.070
