
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.106255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.109909,-0.1703,-0.9714,0.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.147079,-0.1703,-0.9714,0.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.150335,-0.1703,-0.9714,0.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5037,36.4094,12.2947,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.182980,-0.1714,-0.9730,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5037,36.4094,12.2947,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.193731,-0.1714,-0.9730,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5037,36.4094,12.2947,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.229543,-0.1714,-0.9730,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3286,35.6217,12.3479,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.234052,-0.1714,-0.9730,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3286,35.6217,12.3479,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.242971,-0.1721,-0.9724,0.0189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3286,35.6217,12.3479,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.274041,-0.1721,-0.9724,0.0189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3286,35.6217,12.3479,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.284733,-0.1721,-0.9724,0.0189,-0.0108,-0.0123,-0.0326,0.0000,0.0000,0.0000,9.3286,35.6217,12.3479,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.289325,-0.1721,-0.9724,0.0189,-0.0073,-0.0082,-0.0234,0.0000,0.0000,0.0000,9.3286,35.6217,12.3479,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.293349,-0.1721,-0.9724,0.0189,-0.0073,-0.0082,-0.0234,0.0000,0.0000,0.0000,9.2330,36.0138,12.5563,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.311527,-0.1721,-0.9724,0.0189,-0.0073,-0.0082,-0.0234,0.0066,-0.0044,0.0030,9.2330,36.0138,12.5563,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.316648,-0.1715,-0.9709,0.0222,-0.0073,-0.0082,-0.0234,0.0066,-0.0044,0.0030,9.2330,36.0138,12.5563,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.319924,-0.1715,-0.9709,0.0222,-0.0073,-0.0082,-0.0234,0.0066,-0.0044,0.0030,9.2330,36.0138,12.5563,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.349337,-0.1715,-0.9709,0.0222,0.0024,0.0100,0.0125,0.0066,-0.0044,0.0030,9.2330,36.0138,12.5563,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.353759,-0.1715,-0.9709,0.0222,0.0024,0.0100,0.0125,0.0066,-0.0044,0.0030,9.6003,36.0165,12.3909,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.357420,-0.1715,-0.9709,0.0222,0.0024,0.0100,0.0125,0.0066,-0.0044,0.0030,9.6003,36.0165,12.3909,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.382802,-0.1745,-0.9714,0.0227,0.0024,0.0100,0.0125,0.0066,-0.0044,0.0030,9.6003,36.0165,12.3909,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.391935,-0.1745,-0.9714,0.0227,0.0024,0.0100,0.0125,0.0021,-0.0055,0.0039,9.6003,36.0165,12.3909,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.396831,-0.1745,-0.9714,0.0227,0.0024,0.0100,0.0125,0.0021,-0.0055,0.0039,9.6003,36.0165,12.3909,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.403614,-0.1745,-0.9714,0.0227,-0.0117,-0.0013,0.0021,0.0021,-0.0055,0.0039,9.6003,36.0165,12.3909,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.406789,-0.1745,-0.9714,0.0227,-0.0103,-0.0009,0.0017,0.0021,-0.0055,0.0039,9.6003,36.0165,12.3909,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.429525,-0.1745,-0.9714,0.0227,-0.0103,-0.0009,0.0017,0.0021,-0.0055,0.0039,9.9148,35.8970,12.8564,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.433616,-0.1745,-0.9714,0.0227,-0.0103,-0.0009,0.0017,-0.0117,0.0066,-0.0056,9.9148,35.8970,12.8564,349.8906,70.6562,-9.2031,0.00000000,0.00000000,0.00000000,
0.440580,-0.1745,-0.9714,0.0227,-0.0103,-0.0009,0.0017,-0.0117,0.0066,-0.0056,9.9148,35.8970,12.8564,350.1562,80.0469,-9.8594,0.00000000,0.00000000,0.00000000,
0.443738,-0.1709,-0.9736,0.0199,-0.0103,-0.0009,0.0017,-0.0117,0.0066,-0.0056,9.9148,35.8970,12.8564,350.1562,80.0469,-9.8594,0.00000000,0.00000000,0.00000000,
0.463510,-0.1709,-0.9736,0.0199,-0.0002,0.0047,0.0199,-0.0117,0.0066,-0.0056,9.9148,35.8970,12.8564,350.1562,80.0469,-9.8594,0.00000000,0.00000000,0.00000000,
0.480827,-0.1709,-0.9736,0.0199,-0.0002,0.0047,0.0199,-0.0117,0.0066,-0.0056,9.9148,35.8970,12.8564,340.5469,79.7188,-10.2344,0.00000000,0.00000000,0.00000000,
0.491269,-0.1709,-0.9736,0.0199,-0.0002,0.0047,0.0199,-0.0117,0.0066,-0.0056,9.9195,35.3207,11.3340,340.5469,79.7188,-10.2344,0.00000000,0.00000000,0.00000000,
0.515969,-0.1734,-0.9709,0.0191,-0.0002,0.0047,0.0199,-0.0117,0.0066,-0.0056,9.9195,35.3207,11.3340,340.5469,79.7188,-10.2344,0.00000000,0.00000000,0.00000000,
0.520385,-0.1734,-0.9709,0.0191,-0.0002,0.0047,0.0199,-0.0203,0.0105,-0.0024,9.9195,35.3207,11.3340,340.5469,79.7188,-10.2344,0.00000000,0.00000000,0.00000000,
0.524422,-0.1734,-0.9709,0.0191,-0.0002,0.0047,0.0199,-0.0203,0.0105,-0.0024,9.9195,35.3207,11.3340,350.3438,80.0000,-9.9531,0.00000000,0.00000000,0.00000000,
0.527159,-0.1734,-0.9709,0.0191,-0.0106,-0.0070,-0.0031,-0.0203,0.0105,-0.0024,9.9195,35.3207,11.3340,350.3438,80.0000,-9.9531,0.00000000,0.00000000,0.00000000,
0.529402,-0.1734,-0.9709,0.0191,-0.0103,-0.0057,0.0037,-0.0203,0.0105,-0.0024,9.9195,35.3207,11.3340,350.3438,80.0000,-9.9531,0.00000000,0.00000000,0.00000000,
0.549765,-0.1734,-0.9709,0.0191,-0.0103,-0.0057,0.0037,-0.0203,0.0105,-0.0024,10.1190,36.3891,12.2979,350.3438,80.0000,-9.9531,0.00000000,0.00000000,0.00000000,
0.564054,-0.1734,-0.9709,0.0191,-0.0103,-0.0057,0.0037,-0.0203,0.0105,-0.0024,10.1190,36.3891,12.2979,350.4219,80.0312,-9.8906,0.00000000,0.00000000,0.00000000,
0.575437,-0.1716,-0.9726,0.0162,-0.0103,-0.0057,0.0037,-0.0203,0.0105,-0.0024,10.1190,36.3891,12.2979,350.4219,80.0312,-9.8906,0.00000000,0.00000000,0.00000000,
0.584064,-0.1716,-0.9726,0.0162,-0.0142,0.0086,-0.0174,-0.0203,0.0105,-0.0024,10.1190,36.3891,12.2979,350.4219,80.0312,-9.8906,0.00000000,0.00000000,0.00000000,
0.593726,-0.1716,-0.9726,0.0162,-0.0142,0.0086,-0.0174,-0.0106,0.0131,-0.0106,10.1190,36.3891,12.2979,350.4219,80.0312,-9.8906,0.00000000,0.00000000,0.00000000,
0.606944,-0.1716,-0.9726,0.0162,-0.0142,0.0086,-0.0174,-0.0106,0.0131,-0.0106,10.1190,36.3891,12.2979,345.8438,79.8594,-10.0625,0.00000000,0.00000000,0.00000000,
0.630328,-0.1716,-0.9726,0.0162,-0.0142,0.0086,-0.0174,-0.0106,0.0131,-0.0106,10.1474,36.1645,12.4213,345.8438,79.8594,-10.0625,0.00000000,0.00000000,0.00000000,
0.635769,-0.1716,-0.9726,0.0162,-0.0142,0.0086,-0.0174,0.0044,0.0013,-0.0115,10.1474,36.1645,12.4213,345.8438,79.8594,-10.0625,0.00000000,0.00000000,0.00000000,
0.643108,-0.1716,-0.9726,0.0162,-0.0038,0.0102,-0.0017,0.0044,0.0013,-0.0115,10.1474,36.1645,12.4213,345.8438,79.8594,-10.0625,0.00000000,0.00000000,0.00000000,
0.646330,-0.1711,-0.9727,0.0169,-0.0038,0.0102,-0.0017,0.0044,0.0013,-0.0115,10.1474,36.1645,12.4213,345.8438,79.8594,-10.0625,0.00000000,0.00000000,0.00000000,
0.648514,-0.1711,-0.9727,0.0169,-0.0073,0.0097,-0.0036,0.0044,0.0013,-0.0115,10.1474,36.1645,12.4213,345.8438,79.8594,-10.0625,0.00000000,0.00000000,0.00000000,
0.650426,-0.1711,-0.9727,0.0169,-0.0073,0.0097,-0.0036,0.0044,0.0013,-0.0115,10.1474,36.1645,12.4213,349.0469,79.9062,-10.0156,0.00000000,0.00000000,0.00000000,
0.689222,-0.1711,-0.9727,0.0169,-0.0073,0.0097,-0.0036,0.0044,0.0013,-0.0115,10.1474,36.1645,12.4213,350.0312,79.8906,-10.0312,0.00000000,0.00000000,0.00000000,
0.693831,-0.1711,-0.9727,0.0169,-0.0073,0.0097,-0.0036,0.0044,0.0013,-0.0115,9.5915,35.8573,11.7668,350.0312,79.8906,-10.0312,0.00000000,0.00000000,0.00000000,
0.707839,-0.1711,-0.9727,0.0169,0.0042,-0.0159,-0.0295,0.0044,0.0013,-0.0115,9.5915,35.8573,11.7668,350.0312,79.8906,-10.0312,0.00000000,0.00000000,0.00000000,
0.716738,-0.1711,-0.9727,0.0169,0.0042,-0.0159,-0.0295,-0.0014,-0.0015,-0.0028,9.5915,35.8573,11.7668,350.0312,79.8906,-10.0312,0.00000000,0.00000000,0.00000000,
