time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005134,-1.5777,2.3398,0.4591,2.859
0.005503,-1.5298,2.3302,1.3438,3.094
0.005700,-1.3342,2.0390,2.1080,3.222
0.005871,-1.1576,1.6402,2.8319,3.471
0.005955,-0.9385,1.2072,3.3211,3.656
0.018525,-0.7252,0.6935,3.7566,3.888
0.018842,-0.5232,0.1989,4.0677,4.106
0.029097,-0.3422,-0.2935,4.1729,4.197
0.029372,-0.1664,-0.7985,3.8166,3.903
0.029483,-0.0799,-1.1586,3.5229,3.709
0.034539,0.0319,-1.2811,3.2823,3.524
0.039415,0.0504,-1.2912,3.1502,3.405
0.043688,0.0373,-1.2613,3.0674,3.317
0.052342,0.0067,-1.1605,3.1681,3.374
0.054574,0.0060,-1.0439,3.0358,3.210
0.058239,-0.0487,-0.9688,2.7421,2.909
0.070998,-0.0767,-0.8104,2.5881,2.713
0.071840,-0.0713,-0.6141,2.4346,2.512
0.073475,-0.0742,-0.4555,2.2255,2.273
0.078018,-0.1648,-0.3312,1.8883,1.924
0.088237,-0.3060,-0.2499,1.5943,1.642
0.088887,-0.4175,-0.2102,1.1534,1.244
0.092312,-0.4847,-0.0724,0.7490,0.895
0.106326,-0.4983,0.0739,0.4423,0.670
0.106680,-0.4744,0.1576,0.1704,0.528
0.106835,-0.4675,0.1407,0.0220,0.489
0.112302,-0.5051,-0.0579,-0.0229,0.509
0.127854,-0.4581,-0.3993,-0.2735,0.666
0.128267,-0.4494,-0.7477,-0.4663,0.989
0.128389,-0.3459,-0.9766,-0.5393,1.168
0.135341,-0.3138,-1.0696,-0.6240,1.277
0.135797,-0.3232,-1.1088,-0.6726,1.336
0.141994,-0.3389,-1.1090,-0.6776,1.343
0.146227,-0.4680,-0.7088,-0.6130,1.047
0.151862,-0.5751,-0.3277,-0.6622,0.936
0.155387,-0.7233,-0.0040,-0.2268,0.758
0.159986,-0.6632,0.2637,0.0575,0.716
0.169805,-0.4944,0.4017,-0.1317,0.651
0.170168,-0.4622,0.4607,0.0286,0.653
0.174382,-0.3364,0.6013,0.1746,0.711
0.179401,-0.1694,0.5008,0.3899,0.657
0.187166,0.0163,0.3434,0.4860,0.595
0.189310,0.1657,0.1437,0.6238,0.661
0.194715,0.2610,-0.1131,0.8609,0.907
0.201620,0.3581,-0.3169,0.9560,1.069
0.203469,0.4804,-0.5346,0.9378,1.182
0.209016,0.4658,-0.7091,0.7517,1.134
0.214001,0.4507,-0.8669,0.6897,1.196
0.230662,0.4515,-0.9727,0.5869,1.222
0.230965,0.3703,-0.9694,0.4173,1.118
0.231114,0.2165,-0.9918,0.3872,1.086
0.235905,0.0924,-0.9951,0.2672,1.034
0.237549,-0.0359,-0.9845,0.1148,0.992
0.242129,-0.1745,-1.0129,-0.0243,1.028
0.252466,-0.2475,-1.1147,-0.0421,1.143
0.252768,-0.2623,-1.2520,-0.1083,1.284
0.256818,-0.2191,-1.3676,-0.2419,1.406
0.263022,-0.2569,-1.4427,-0.2729,1.491
0.271978,-0.1265,-1.4179,-0.4047,1.480
0.272854,-0.0067,-1.6249,-0.7047,1.771
0.275910,0.0565,-1.4555,-0.8213,1.672
0.289894,0.0838,-1.1641,-0.8455,1.441
0.290433,0.0824,-0.9481,-0.9703,1.359
0.291023,0.1736,-0.5637,-0.7242,0.934
0.296209,0.3792,-0.2261,-0.4666,0.642
0.302450,0.4857,-0.0734,-0.4679,0.678
0.305125,0.5599,0.0097,-0.6063,0.825
0.310658,0.5839,0.0690,-0.6687,0.890
0.330547,0.5583,0.1981,-0.5955,0.840
0.330830,0.7147,0.2874,-0.5714,0.959
0.330955,0.8497,0.2532,-0.5509,1.044
0.331071,0.8959,0.1703,-0.5081,1.044
0.336271,0.8914,0.0915,-0.5314,1.042
0.339083,0.8356,-0.0232,-0.5663,1.010
0.343718,0.6277,-0.2669,-0.6680,0.955
0.352787,0.5807,-0.2516,-0.8463,1.057
0.353819,0.4296,-0.2001,-0.8928,1.011
0.358014,0.3175,-0.0314,-0.8268,0.886
0.364109,0.1554,0.0081,-0.8995,0.913
0.370505,0.0186,-0.0332,-1.0779,1.079
0.372686,-0.1114,-0.1810,-1.3718,1.388
0.377482,-0.2450,-0.3847,-1.7552,1.814
0.386850,-0.3585,-0.4214,-2.0322,2.106
0.387439,-0.5188,-0.3968,-2.1359,2.234
0.391873,-0.6789,-0.3444,-2.2100,2.337
0.403145,-0.7716,-0.3320,-2.1657,2.323
0.403651,-0.7352,-0.3091,-1.9865,2.141
0.406870,-0.7188,-0.3114,-1.8732,2.030
0.411193,-0.6560,-0.2989,-1.6315,1.784
0.431121,-0.5759,-0.2359,-1.3040,1.445
0.431508,-0.5510,-0.1994,-0.9692,1.133
0.431626,-0.4517,-0.1298,-0.7012,0.844
0.431741,-0.3360,-0.0725,-0.6266,0.715
0.435761,-0.2399,-0.0349,-0.5898,0.638
0.442482,-0.2112,-0.0031,-0.6430,0.677
0.446055,-0.2574,-0.0443,-0.5301,0.591
0.450057,-0.2446,0.0523,-0.6030,0.653
0.456253,-0.2711,0.1262,-0.7014,0.762
0.460567,-0.3170,0.1272,-0.8229,0.891
0.465675,-0.3469,0.1632,-1.0443,1.112
0.470106,-0.3789,0.1840,-1.1409,1.216
0.474188,-0.3636,0.2829,-1.2829,1.363
0.480304,-0.2913,0.3885,-1.3413,1.427
