time,gFx,gFy,gFz,TgF
7.43229E-4,-0.3574,0.6625,0.4500,0.877
9.61458E-4,-0.3506,0.6745,0.4715,0.895
0.002158437,-0.3371,0.6813,0.4903,0.905
0.004300156,-0.3222,0.6884,0.5150,0.918
0.006617031,-0.3068,0.6940,0.5455,0.935
0.008871979,-0.2878,0.6948,0.5773,0.948
0.01148625,-0.2697,0.6960,0.6042,0.960
0.015522604,-0.2504,0.6921,0.6256,0.966
0.016737344,-0.2357,0.6884,0.6484,0.975
0.019118073,-0.2243,0.6787,0.6738,0.982
0.022217604,-0.2172,0.6686,0.7055,0.996
0.023327448,-0.2116,0.6608,0.7436,1.017
0.025720312,-0.2025,0.6540,0.7840,1.041
0.028185,-0.1962,0.6491,0.8274,1.070
0.030835781,-0.1886,0.6418,0.8709,1.098
0.033470989,-0.1793,0.6379,0.9156,1.130
0.035534427,-0.1686,0.6332,0.9618,1.164
0.038195573,-0.1588,0.6352,1.0060,1.200
0.040382239,-0.1459,0.6371,1.0439,1.232
0.04279026,-0.1329,0.6430,1.0774,1.262
0.045119739,-0.1180,0.6493,1.1040,1.286
0.047722708,-0.1038,0.6586,1.1245,1.307
0.050164114,-0.0919,0.6657,1.1357,1.320
0.052529271,-0.0821,0.6743,1.1401,1.327
0.055133385,-0.0757,0.6801,1.1379,1.328
0.057310677,-0.0708,0.6857,1.1296,1.323
0.059786042,-0.0718,0.6862,1.1172,1.313
0.062102448,-0.0755,0.6882,1.0991,1.299
0.065459062,-0.0811,0.6904,1.0774,1.282
0.06735125,-0.0892,0.6921,1.0534,1.264
0.069494219,-0.0982,0.6948,1.0295,1.246
0.072000417,-0.1053,0.6982,1.0065,1.229
0.07429026,-0.1124,0.7033,0.9850,1.216
0.076557344,-0.1199,0.7116,0.9606,1.201
0.079486198,-0.1256,0.7185,0.9383,1.188
0.081739739,-0.1309,0.7278,0.9176,1.178
0.083911667,-0.1351,0.7334,0.8971,1.167
0.086195885,-0.1412,0.7419,0.8782,1.158
0.088744896,-0.1459,0.7517,0.8624,1.153
0.091459583,-0.1490,0.7622,0.8553,1.155
0.093596562,-0.1495,0.7724,0.8553,1.162
0.095905417,-0.1461,0.7832,0.8555,1.169
0.099179479,-0.1358,0.7940,0.8489,1.170
0.10115901,-0.1241,0.8028,0.8372,1.167
0.10314,-0.1185,0.8103,0.8230,1.161
0.105769375,-0.1129,0.8130,0.8111,1.154
0.108071042,-0.1097,0.7925,0.7927,1.126
0.11041651,-0.1070,0.7923,0.7724,1.112
0.113894844,-0.1038,0.8062,0.7602,1.113
0.115449271,-0.1007,0.8208,0.7602,1.123
0.117937292,-0.1002,0.8379,0.7735,1.145
0.120140937,-0.0965,0.8560,0.7984,1.175
0.122633333,-0.0921,0.8733,0.8309,1.209
0.124903021,-0.0931,0.8873,0.8616,1.240
0.127461719,-0.0926,0.8902,0.8912,1.263
0.130693698,-0.0938,0.8929,0.9154,1.282
0.132363177,-0.0972,0.8905,0.9403,1.299
0.134830521,-0.0987,0.8860,0.9684,1.316
0.137065364,-0.1016,0.8785,1.0016,1.336
0.139815833,-0.1031,0.8629,1.0351,1.351
0.142021198,-0.0992,0.8436,1.0647,1.362
0.1442725,-0.0933,0.8189,1.0954,1.371
0.147430677,-0.0887,0.7883,1.1265,1.378
0.15087375,-0.0855,0.7546,1.1506,1.379
0.151627708,-0.0833,0.7163,1.1675,1.372
0.154053437,-0.0830,0.6784,1.1804,1.364
0.157005833,-0.0860,0.6403,1.1892,1.353
0.158934531,-0.0902,0.6039,1.1992,1.346
0.161221771,-0.0924,0.5643,1.2080,1.337
0.164161771,-0.0928,0.5333,1.2151,1.330
0.166329323,-0.0924,0.5069,1.2239,1.328
0.168513333,-0.0889,0.4837,1.2330,1.327
0.170805104,-0.0855,0.4656,1.2398,1.327
0.173451354,-0.0830,0.4517,1.2435,1.326
0.17576901,-0.0845,0.4388,1.2466,1.324
0.178312396,-0.0884,0.4290,1.2457,1.320
0.182533594,-0.0882,0.4234,1.2388,1.312
0.183205729,-0.0880,0.4209,1.2290,1.302
0.185435208,-0.0863,0.4202,1.2146,1.288
0.187752448,-0.0826,0.4226,1.1958,1.271
0.190403542,-0.0791,0.4290,1.1736,1.252
0.192735156,-0.0750,0.4339,1.1479,1.229
0.195011562,-0.0696,0.4424,1.1228,1.209
0.200495156,-0.0682,0.4522,1.0986,1.190
0.200810729,-0.0662,0.4600,1.0734,1.170
0.202736719,-0.0669,0.4695,1.0492,1.151
0.204809114,-0.0642,0.4815,1.0285,1.137
0.207344896,-0.0611,0.4942,1.0070,1.123
0.209433489,-0.0586,0.5035,0.9877,1.110
0.212190104,-0.0569,0.5125,0.9691,1.098
0.214504167,-0.0569,0.5208,0.9525,1.087
0.216930521,-0.0562,0.5299,0.9413,1.082
0.219405677,-0.0528,0.5384,0.9344,1.080
0.221744271,-0.0494,0.5470,0.9315,1.081
0.224150729,-0.0450,0.5504,0.9273,1.079
0.226419219,-0.0401,0.5521,0.9195,1.073
0.228808229,-0.0369,0.5541,0.9107,1.067
0.231367708,-0.0337,0.5536,0.9024,1.059
0.233944583,-0.0303,0.5533,0.8956,1.053
0.236167344,-0.0242,0.5526,0.8929,1.050
0.238747656,-0.0149,0.5499,0.8917,1.048
0.241584375,-0.0063,0.5465,0.8856,1.041
0.243560208,0.0051,0.5404,0.8768,1.030
0.245796041,0.0168,0.5367,0.8653,1.018
0.249687396,0.0264,0.5311,0.8524,1.005
0.251260989,0.0298,0.5269,0.8370,0.989
0.25324151,0.0327,0.5255,0.8218,0.976
0.25689026,0.0347,0.5274,0.8091,0.966
0.25827625,0.0379,0.5311,0.7952,0.957
0.260349896,0.0411,0.5355,0.7779,0.945
0.263028906,0.0440,0.5411,0.7578,0.932
0.265359948,0.0462,0.5426,0.7322,0.912
0.267803021,0.0413,0.5243,0.6975,0.873
0.270091041,0.0386,0.5123,0.6547,0.832
0.272561041,0.0330,0.5174,0.6107,0.801
0.274996875,0.0269,0.5247,0.5778,0.781
0.277163437,0.0188,0.5374,0.5560,0.774
0.279887031,0.0088,0.5482,0.5399,0.769
0.282736979,0.0007,0.5590,0.5294,0.770
0.284735729,-0.0027,0.5695,0.5181,0.770
0.286988073,-0.0020,0.5768,0.5072,0.768
0.289395364,-0.0005,0.5814,0.4940,0.763
0.292057448,0.0029,0.5878,0.4786,0.758
0.294264062,0.0039,0.5880,0.4659,0.750
0.296840937,0.0000,0.5714,0.4585,0.733
0.299410729,0.0005,0.5687,0.4593,0.731
0.301777031,0.0059,0.5719,0.4607,0.734
0.303797916,0.0115,0.5760,0.4646,0.740
0.306248333,0.0129,0.5782,0.4739,0.748
0.308798177,0.0134,0.5809,0.4886,0.759
0.311265885,0.0103,0.5812,0.5101,0.773
0.313680052,0.0022,0.5797,0.5365,0.790
0.316204427,-0.0051,0.5726,0.5597,0.801
0.318833437,-0.0103,0.5629,0.5780,0.807
0.321374271,-0.0146,0.5560,0.5929,0.813
0.323252812,-0.0212,0.5533,0.6117,0.825
0.325650208,-0.0291,0.5494,0.6347,0.840
0.327925364,-0.0342,0.5443,0.6589,0.855
0.331752656,-0.0386,0.5365,0.6816,0.868
0.333284687,-0.0437,0.5306,0.7019,0.881
0.335608489,-0.0459,0.5225,0.7209,0.892
0.337824114,-0.0489,0.5128,0.7380,0.900
0.340353229,-0.0537,0.5006,0.7544,0.907
0.343060729,-0.0596,0.4893,0.7671,0.912
0.345329531,-0.0655,0.4783,0.7786,0.916
0.348578229,-0.0701,0.4646,0.7857,0.915
0.350054219,-0.0774,0.4507,0.7920,0.915
0.352457083,-0.0823,0.4419,0.8003,0.918
0.354648073,-0.0848,0.4327,0.8057,0.918
0.35712875,-0.0843,0.4270,0.8035,0.914
0.359977552,-0.0843,0.4241,0.8013,0.911
0.362082135,-0.0826,0.4199,0.7984,0.906
0.366278385,-0.0813,0.4172,0.7925,0.899
0.366884739,-0.0796,0.3982,0.7724,0.873
0.36928125,-0.0782,0.3858,0.7439,0.842
0.371690521,-0.0813,0.3919,0.7160,0.820
0.374072604,-0.0813,0.3989,0.6972,0.807
0.376413594,-0.0848,0.4104,0.6865,0.804
0.379271666,-0.0946,0.4226,0.6777,0.804
0.38208401,-0.1053,0.4356,0.6750,0.810
0.383785208,-0.1119,0.4524,0.6772,0.822
0.386052864,-0.1187,0.4671,0.6811,0.834
0.388439323,-0.1263,0.4761,0.6816,0.841
0.39090776,-0.1348,0.4822,0.6782,0.843
0.393443281,-0.1422,0.4844,0.6672,0.837
0.395645781,-0.1471,0.4830,0.6569,0.828
0.398678281,-0.1512,0.4847,0.6474,0.823
0.400691927,-0.1471,0.4837,0.6400,0.816
0.403000989,-0.1439,0.4803,0.6339,0.808
0.405487344,-0.1431,0.4778,0.6313,0.805
0.408043073,-0.1407,0.4747,0.6317,0.803
0.410422708,-0.1414,0.4656,0.6322,0.798
0.412774531,-0.1397,0.4449,0.6317,0.785
0.415243437,-0.1419,0.4402,0.6291,0.781
0.417729062,-0.1446,0.4415,0.6298,0.783
0.419989166,-0.1488,0.4432,0.6308,0.785
0.422625937,-0.1571,0.4436,0.6359,0.791
0.424688229,-0.1673,0.4424,0.6457,0.800
0.427340625,-0.1810,0.4463,0.6540,0.812
0.429434948,-0.1920,0.4463,0.6630,0.822
0.432165937,-0.2030,0.4461,0.6694,0.830
0.435007916,-0.2069,0.4449,0.6689,0.830
0.43693526,-0.2082,0.4454,0.6623,0.825
0.439445104,-0.2020,0.4471,0.6547,0.818
0.441894323,-0.1959,0.4498,0.6532,0.817
0.444157812,-0.1883,0.4505,0.6484,0.812
0.446435833,-0.1771,0.4410,0.6364,0.794
0.450890364,-0.1742,0.4456,0.6305,0.791
0.45152,-0.1717,0.4554,0.6342,0.799
0.454039531,-0.1651,0.4678,0.6496,0.817
0.456320573,-0.1583,0.4861,0.6682,0.841
0.458832239,-0.1544,0.5033,0.6853,0.864
0.461505208,-0.1466,0.5186,0.7006,0.884
0.463614271,-0.1402,0.5316,0.7163,0.903
0.465973698,-0.1344,0.5426,0.7295,0.919
0.468445781,-0.1344,0.5521,0.7419,0.935
0.470646927,-0.1292,0.5572,0.7510,0.944
0.473102448,-0.1270,0.5565,0.7571,0.948
0.475438593,-0.1261,0.5519,0.7590,0.947
0.478050312,-0.1268,0.5441,0.7556,0.940
0.480254114,-0.1280,0.5367,0.7512,0.932
0.482922968,-0.1331,0.5279,0.7497,0.927
0.485286146,-0.1392,0.5184,0.7478,0.920
0.487536041,-0.1507,0.5081,0.7463,0.915
0.489960416,-0.1634,0.4991,0.7441,0.911
0.492430781,-0.1788,0.4906,0.7427,0.908
0.494942968,-0.1966,0.4839,0.7419,0.907
0.497101198,-0.2133,0.4786,0.7414,0.908
0.500026875,-0.2309,0.4720,0.7461,0.913
0.502360052,-0.2458,0.4678,0.7507,0.918
0.504592916,-0.2587,0.4678,0.7585,0.928
0.50678901,-0.2717,0.4678,0.7663,0.938
0.509202812,-0.2824,0.4700,0.7771,0.951
0.511770104,-0.2922,0.4703,0.7857,0.961
0.514289166,-0.3002,0.4734,0.7962,0.974
0.516725521,-0.3068,0.4791,0.8081,0.988
0.519304427,-0.3105,0.4827,0.8191,1.000
0.521883333,-0.3120,0.4871,0.8281,1.010
0.523927135,-0.3107,0.4898,0.8336,1.016
0.526211666,-0.3090,0.4935,0.8326,1.016
0.528734843,-0.3073,0.4969,0.8291,1.014
0.531533177,-0.3058,0.5011,0.8230,1.011
0.533695312,-0.3054,0.5033,0.8184,1.008
0.535871146,-0.3029,0.5089,0.8155,1.008
0.538556771,-0.3027,0.5160,0.8128,1.009
0.540969323,-0.3007,0.5225,0.8111,1.011
0.543162187,-0.2971,0.5306,0.8108,1.014
0.545611979,-0.2927,0.5391,0.8150,1.020
0.550226406,-0.2880,0.5450,0.8220,1.028
0.550567864,-0.2819,0.5399,0.8299,1.029
0.553069583,-0.2707,0.5199,0.8267,1.013
0.557015521,-0.2634,0.5279,0.8333,1.021
0.557614114,-0.2519,0.5450,0.8489,1.040
0.559999062,-0.2414,0.5594,0.8697,1.062
0.562967031,-0.2353,0.5756,0.8919,1.087
0.565025833,-0.2340,0.5895,0.9146,1.113
0.567548489,-0.2326,0.6037,0.9374,1.139
0.569837552,-0.2335,0.6176,0.9616,1.166
0.57223401,-0.2353,0.6242,0.9872,1.191
0.574477604,-0.2338,0.6232,1.0053,1.206
0.576871927,-0.2313,0.6193,1.0099,1.207
0.579628802,-0.2255,0.6134,1.0053,1.199
0.582454218,-0.2194,0.6078,0.9967,1.188
0.584457656,-0.2157,0.5997,0.9877,1.175
0.586850521,-0.2118,0.5912,0.9764,1.161
0.589210416,-0.2157,0.5834,0.9659,1.149
0.591662656,-0.2155,0.5743,0.9579,1.137
0.593817239,-0.2199,0.5651,0.9503,1.127
0.596306302,-0.2277,0.5604,0.9481,1.125
0.598926146,-0.2311,0.5546,0.9464,1.121
0.601791718,-0.2338,0.5494,0.9422,1.116
0.603802135,-0.2409,0.5475,0.9352,1.110
0.606147916,-0.2458,0.5480,0.9259,1.104
0.608458489,-0.2550,0.5455,0.9164,1.097
0.610782239,-0.2653,0.5467,0.9071,1.092
0.613410312,-0.2783,0.5489,0.8956,1.087
0.616337656,-0.2895,0.5511,0.8843,1.081
0.618423177,-0.3034,0.5531,0.8736,1.078
0.621118646,-0.3186,0.5553,0.8638,1.075
0.622956614,-0.3313,0.5572,0.8582,1.076
0.625360937,-0.3437,0.5604,0.8526,1.077
0.627760833,-0.3530,0.5643,0.8497,1.079
0.630450677,-0.3594,0.5687,0.8494,1.084
0.632869531,-0.3625,0.5724,0.8489,1.086
0.635146875,-0.3611,0.5773,0.8472,1.087
0.637595312,-0.3574,0.5807,0.8445,1.085
0.639851198,-0.3532,0.5814,0.8404,1.081
0.642815156,-0.3445,0.5826,0.8365,1.076
0.644848021,-0.3381,0.5851,0.8316,1.072
0.64723526,-0.3281,0.5873,0.8252,1.065
0.652159323,-0.3154,0.5927,0.8211,1.061
0.652626927,-0.3017,0.6002,0.8167,1.057
0.654587343,-0.2863,0.6095,0.8120,1.055
0.656934114,-0.2704,0.6200,0.8084,1.054
0.65992625,-0.2526,0.6322,0.8106,1.059
0.661815937,-0.2357,0.6442,0.8145,1.065
0.664055781,-0.2165,0.6547,0.8198,1.071
0.667783437,-0.2006,0.6672,0.8301,1.084
0.668926614,-0.1854,0.6774,0.8458,1.099
0.671332083,-0.1730,0.6870,0.8619,1.116
0.673645364,-0.1620,0.6923,0.8812,1.132
0.675985885,-0.1551,0.6945,0.9024,1.149
0.678739791,-0.1537,0.6979,0.9276,1.171
0.681054218,-0.1554,0.6977,0.9586,1.196
0.683546823,-0.1583,0.6955,0.9904,1.220
0.685983698,-0.1629,0.6914,1.0251,1.247
0.688204635,-0.1671,0.6828,1.0585,1.271
0.690521354,-0.1747,0.6721,1.0925,1.294
0.693007916,-0.1839,0.6581,1.1252,1.316
